2026-07-28 09:23:53 | INFO     | ai_studio | Logger của AI Studio đã được khởi tạo.
2026-07-28 09:23:54 | INFO     | ai_studio.app.models.project_model | ProjectModel đã được khởi tạo.
2026-07-28 09:23:54 | INFO     | ai_studio.app.services.history_service | HistoryService đã được khởi tạo. max_history=100
2026-07-28 09:28:51 | INFO     | ai_studio | Logger của AI Studio đã được khởi tạo.
2026-07-28 09:28:52 | INFO     | ai_studio.app.models.project_model | ProjectModel đã được khởi tạo.
2026-07-28 09:28:52 | INFO     | ai_studio.app.services.history_service | HistoryService đã được khởi tạo. max_history=100
2026-07-28 09:35:37 | INFO     | ai_studio | Logger của AI Studio đã được khởi tạo.
2026-07-28 09:35:37 | INFO     | ai_studio.app.models.project_model | ProjectModel đã được khởi tạo.
2026-07-28 09:35:37 | INFO     | ai_studio.app.services.history_service | HistoryService đã được khởi tạo. max_history=100
2026-07-28 09:36:23 | INFO     | ai_studio.app.models.project_model | Đã khởi tạo ProjectModel. project=films, scenes=0
2026-07-28 09:36:23 | INFO     | ai_studio.app.services.history_service | Đã khởi tạo lịch sử. description=Mở dự án
2026-07-28 09:36:49 | INFO     | ai_studio.app.models.project_model | Đã khởi tạo ProjectModel. project=films, scenes=0
2026-07-28 09:36:49 | INFO     | ai_studio.app.services.history_service | Đã khởi tạo lịch sử. description=Mở dự án
2026-07-28 09:37:00 | INFO     | ai_studio.app.models.project_model | Đã khởi tạo ProjectModel. project=test, scenes=0
2026-07-28 09:37:00 | INFO     | ai_studio.app.services.history_service | Đã khởi tạo lịch sử. description=Mở dự án
2026-07-28 09:50:04 | INFO     | ai_studio | Logger của AI Studio đã được khởi tạo.
2026-07-28 09:50:05 | INFO     | ai_studio.app.models.project_model | ProjectModel đã được khởi tạo.
2026-07-28 09:50:05 | INFO     | ai_studio.app.services.history_service | HistoryService đã được khởi tạo. max_history=100
2026-07-28 09:51:24 | INFO     | ai_studio | Logger của AI Studio đã được khởi tạo.
2026-07-28 09:51:25 | INFO     | ai_studio.app.models.project_model | ProjectModel đã được khởi tạo.
2026-07-28 09:51:25 | INFO     | ai_studio.app.services.history_service | HistoryService đã được khởi tạo. max_history=100
2026-07-28 10:10:25 | INFO     | ai_studio | Logger của AI Studio đã được khởi tạo.
2026-07-28 10:10:25 | INFO     | ai_studio.app.models.project_model | ProjectModel đã được khởi tạo.
2026-07-28 10:10:25 | INFO     | ai_studio.app.services.history_service | HistoryService đã được khởi tạo. max_history=100
2026-07-28 10:53:39 | INFO     | ai_studio | Logger của AI Studio đã được khởi tạo.
2026-07-28 10:53:39 | INFO     | ai_studio.app.models.project_model | ProjectModel đã được khởi tạo.
2026-07-28 10:53:39 | INFO     | ai_studio.app.services.history_service | HistoryService đã được khởi tạo. max_history=100
2026-07-28 13:24:36 | INFO     | ai_studio | Logger của AI Studio đã được khởi tạo.
2026-07-28 13:24:36 | INFO     | ai_studio.app.models.project_model | ProjectModel đã được khởi tạo.
2026-07-28 13:24:36 | INFO     | ai_studio.app.services.history_service | HistoryService đã được khởi tạo. max_history=100
2026-07-28 14:57:14 | INFO     | ai_studio | Logger của AI Studio đã được khởi tạo.
2026-07-28 14:57:15 | INFO     | ai_studio.app.models.project_model | ProjectModel đã được khởi tạo.
2026-07-28 14:57:15 | INFO     | ai_studio.app.services.history_service | HistoryService đã được khởi tạo. max_history=100
2026-07-28 16:48:10 | INFO     | ai_studio | Logger của AI Studio đã được khởi tạo.
2026-07-28 16:48:11 | INFO     | ai_studio.app.models.project_model | ProjectModel đã được khởi tạo.
2026-07-28 16:48:11 | INFO     | ai_studio.app.services.history_service | HistoryService đã được khởi tạo. max_history=100
2026-07-28 17:07:51 | INFO     | ai_studio | Logger của AI Studio đã được khởi tạo.
2026-07-28 17:07:51 | INFO     | ai_studio.app.models.project_model | ProjectModel đã được khởi tạo.
2026-07-28 17:07:51 | INFO     | ai_studio.app.services.history_service | HistoryService đã được khởi tạo. max_history=100
